id,proper,x,y,z,mag,ci
93452,Okab,6.95881,-23.716532,6.099966,2.99,0.014
119137,Onkaria,-2.493928,-12.627569,1.117419,14.67,1.74
7736,p Eridani,3.945945,1.835674,-6.500103,5.76,0.88
118084,p Eridani,4.110128,1.912046,-6.7701,5.8,0.86
81020,Paikauhale,-45.960032,-119.546841,-68.7205,2.82,-0.206
72144,Paradys,-19.356924,-17.40793,-134.489842,3.83,1.433
100425,Peacock,17.850262,-24.200974,-45.841245,1.94,-0.118
26569,Phact,5.885917,66.110037,-44.89318,2.65,-0.12
57828,Phecda,-15.094867,0.406425,20.552678,2.41,0.044
74868,Pherkad,-29.797327,-35.741213,141.814461,3.0,0.058
61202,Phyllon Kissinou,-86.726287,-13.290876,36.574715,4.8,0.012
40766,Piautos,-73.723045,104.765465,57.095809,5.92,-0.039
88141,Pincoya,0.490331,-36.066992,-19.63405,9.62,1.396
82294,Pipirima,-33.31875,-109.554458,-89.520712,3.56,-0.21
31605,Pipit,-13.61885,81.907249,-77.960909,3.17,-0.103
17809,Pleione,57.734463,89.91922,47.882552,5.05,-0.082
115718,Poerava,28.894288,-3.632398,-46.986336,7.82,0.513
11734,Polaris,1.3431,1.047629,132.614909,1.97,0.636
104046,Polaris Australis,1.150845,-1.065873,-86.118423,5.45,0.283
89064,Polis,5600.996443,-93152.961403,-35932.639895,3.84,0.195
37718,Pollux,-4.055465,8.19518,4.867171,1.16,0.991
61748,Porrima,-11.488622,-2.111702,-0.295552,2.74,0.368
53075,Praecipua,-23.041794,6.900625,16.355475,3.79,1.04
20155,Prima Hyadum,20.197375,43.211662,13.342572,3.65,0.981
37173,Procyon,-1.469312,3.17617,0.320024,0.4,0.432
29582,Propus,-7.067151,108.713368,45.140745,3.31,1.6
70666,Proxima Centauri,-0.472264,-0.361451,-1.151219,11.01,1.807
73467,Quadrans,-5.858189,-6.055134,9.244209,4.83,0.647
88610,Ramus,10.031459,-262.374329,99.815819,4.37,-0.164
16496,Ran,1.89897,2.541426,-0.528523,3.72,0.881
17336,Rana,5.006502,7.370189,-1.533131,3.52,0.915
83290,Rapeto,-8.640486,-34.989554,-33.974575,7.39,0.565
47772,Ras Elased Australis,-57.700126,38.244772,30.494289,2.97,0.808
48318,Rasalas,-29.062466,18.02588,16.685015,3.88,1.222
84086,Rasalgethi,-20.995512,-104.709944,27.400863,2.78,1.164
85769,Rasalhague,-1.587067,-14.453242,3.239454,2.08,0.155
116265,Rasalnaqa,111.002171,-10.621481,104.963685,4.29,-0.083
85410,Rastaban,-9.169333,-70.678899,92.218765,2.79,0.954
30016,Red Rectangle,-37.678828,431.31548,-81.318571,8.85,0.344
