id,hip,proper,mag,ci,x,y,z
83290,83547,Rapeto,7.39,0.565,-8.640486,-34.989554,-33.974575
47772,47908,Ras Elased Australis,2.97,0.808,-57.700126,38.244772,30.494289
48318,48455,Rasalas,3.88,1.222,-29.062466,18.02588,16.685015
84086,84345,Rasalgethi,2.78,1.164,-20.995512,-104.709944,27.400863
85769,86032,Rasalhague,2.08,0.155,-1.587067,-14.453242,3.239454
116265,116631,Rasalnaqa,4.29,-0.083,111.002171,-10.621481,104.963685
85410,85670,Rastaban,2.79,0.954,-9.169333,-70.678899,92.218765
30016,30089,Red Rectangle,8.85,0.344,-37.678828,431.31548,-81.318571
49528,49669,Regulus,1.36,-0.087,-21.018857,11.132218,5.041397
5725,5737,Revati,5.21,0.32,50.128801,16.707567,7.027196
5731,5743,Revati B,6.44,0.492,88.381439,29.46675,12.394783
19730,19780,Rhombus,3.33,0.915,10.180685,20.514413,-43.944776
24378,24436,Rigel,0.18,-0.03,51.601106,256.709905,-37.740051
71456,71683,Rigil Kentaurus,-0.01,0.71,-0.495203,-0.414084,-1.156625
80776,81022,Rosalíadecastro,7.89,0.68,-23.009677,-57.565318,2.256769
57375,57548,Ross 128,11.12,1.746,-3.349892,0.179372,0.047111
92115,92403,Ross 154,10.37,1.51,0.585883,-2.652454,-1.200123
30847,30920,Ross 614,11.12,1.69,-0.527146,4.088126,-0.202607
44135,44263,Ross 687,12.37,1.455,-14.80023,14.692285,1.913156
101442,101769,Rotanev,3.64,0.425,18.994041,-23.134214,7.794139
6672,6686,Ruchbah,2.66,0.16,14.082378,5.53413,26.457567
95052,95347,Rukbat,3.96,-0.105,15.143928,-39.50987,-36.286833
83755,84012,Sabik,2.43,0.059,-5.602493,-25.470005,-7.342684
23398,23453,Saclateni,3.69,1.154,45.114162,175.957014,158.327189
110049,110395,Sadachbia,3.86,-0.057,45.635919,-20.880207,-1.215412
